Metric,Frequency (Hz),p_value,Mean_Exp,Mean_Ctrl
CO2_smooth,575.8,0.011013185694219932,3581.0,1425.607163000564
CO2_smooth,576.6,0.011022070516251387,3606.3333333333335,1425.607163000564
CO2_smooth,578.2,0.011022070527011001,3663.3333333333335,1425.607163000564
CO2_smooth,567.4,0.01103096171694942,3411.0,1425.607163000564
CO2_smooth,576.0,0.01103096171694942,3583.3333333333335,1425.607163000564
CO2_smooth,577.2,0.011039859289418096,3621.0,1425.607163000564
CO2_smooth,568.0,0.011048763226737174,3413.3333333333335,1425.607163000564
CO2_smooth,569.6,0.011066590254461613,3444.0,1425.607163000564
CO2_smooth,581.4,0.011075513352606632,3777.6666666666665,1425.607163000564
CO2_smooth,569.4,0.011084442831029162,3441.6666666666665,1425.607163000564
CO2_smooth,571.2,0.011084442831029162,3473.0,1425.607163000564
CO2_smooth,567.8,0.011093378704389135,3409.0,1425.607163000564
CO2_smooth,571.4,0.011093378715200976,3475.6666666666665,1425.607163000564
CO2_smooth,571.8,0.011093378715200976,3487.3333333333335,1425.607163000564
CO2_smooth,575.6,0.011102320987374348,3573.3333333333335,1425.607163000564
CO2_smooth,576.4,0.011111269656813303,3598.6666666666665,1425.607163000564
CO2_smooth,568.2,0.011111269662225759,3414.3333333333335,1425.607163000564
CO2_smooth,571.0,0.01111126967305069,3467.3333333333335,1425.607163000564
CO2_smooth,571.6,0.01111126967305069,3481.0,1425.607163000564
CO2_smooth,567.6,0.011129186246294338,3407.6666666666665,1425.607163000564
CO2_smooth,572.0,0.011129186257132358,3491.0,1425.607163000564
CO2_smooth,577.0,0.011129186257132358,3611.6666666666665,1425.607163000564
CO2_smooth,576.8,0.011147128487599509,3606.6666666666665,1425.607163000564
CO2_smooth,576.2,0.01114712849845064,3588.6666666666665,1425.607163000564
CO2_smooth,569.2,0.011165096417173984,3437.0,1425.607163000564
CO2_smooth,572.4,0.011165096417173984,3498.0,1425.607163000564
CO2_smooth,572.2,0.011165096428038247,3496.3333333333335,1425.607163000564
CO2_smooth,284.5,0.011183090066078611,3708.0,1425.607163000564
CO2_smooth,581.6,0.011183090076955997,3780.6666666666665,1425.607163000564
CO2_smooth,569.8,0.011192096550435918,3441.3333333333335,1425.607163000564
CO2_smooth,578.4,0.011192096550435918,3670.3333333333335,1425.607163000564
CO2_smooth,581.2,0.011201109476292867,3773.3333333333335,1425.607163000564
CO2_smooth,575.4,0.011210128836642857,3564.3333333333335,1425.607163000564
CO2_smooth,567.0,0.011219154657165827,3390.3333333333335,1425.607163000564
CO2_smooth,580.4,0.011219154657165827,3744.3333333333335,1425.607163000564
CO2_smooth,568.4,0.011228186919955002,3415.3333333333335,1425.607163000564
